Game,TCP,UDP,
Super Dragon Ball Heroes: World Mission Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Exploding Zoo Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Lucky's Tale Xbox One,3074,"88, 500, 3074, 3544, 4500",
Super Mario Maker 2 Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Mario Odyssey Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Mario Party Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Meat Boy Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Meat Boy Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Meat Boy Xbox 360,3074,"88, 3074",
Super Meat Boy Forever Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Meat Boy Forever Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Meat Boy Forever Xbox One,3074,"88, 500, 3074, 3544, 4500",
Super Meat Boy Forever Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Neptunia RPG Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Neptunia RPG Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Paper Mario Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Puzzle Fighter II Turbo HD Remix Xbox 360,3074,3074,
Super Puzzle Fighter II Turbo HD Remix Playstation 3,5223,"5223, 3478, 3479, 3658",
Super Robot Taisen XO Xbox 360,3074,"88, 3074",
Super Robot Wars OG: The Moon Dwellers Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Super Robot Wars OG: The Moon Dwellers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Robot Wars T Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Robot Wars T Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Robot Wars V Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Robot Wars X Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Rub a Dub Playstation 3,5223,"5223, 3478, 3479, 3658",
Super Sanctum TD,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Smash Bros. Brawl Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Smash Bros. Ultimate Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Star Path Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Stardust HD Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Super Stardust Ultra Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Street Fighter II: The New Challengers Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Street Fighter II: The New Challengers,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Street Fighter II: The New Challengers Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Super Street Fighter II: The New Challengers Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Street Fighter II: The New Challengers Xbox One,3074,"88, 500, 3074, 3544, 4500",
Super Street Fighter II: Turbo,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Street Fighter II: Turbo - HD Remix Xbox 360,3074,"88, 3074",
Super Street Fighter II: Turbo - HD Remix Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Super Street Fighter IV Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Super Street Fighter IV Xbox 360,3074,"88, 3074",
Super Street Fighter IV: Arcade Edition Xbox 360,3074,"88, 3074",
Super Street Fighter IV: Arcade Edition,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Street Fighter IV: Arcade Edition Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Super Volley Blast Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Super Volley Blast Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Super Volley Blast Xbox One,3074,"88, 500, 3074, 3544, 4500",
Superbeat: Xonic Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Superbeat: Xonic Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Superbeat: Xonic Xbox One,3074,"88, 500, 3074, 3544, 4500",
Supercade,27886,27886,
Supercircuits BLK-DH200800D,"80, 5445",,
Supercircuits DMR28U,"80, 5445",,
Supercircuits DMR91U,"80, 9000",,
Superdimension Neptune VS Sega Hard Girls,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Superfighters Deluxe Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Superfrog HD Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Superhot Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Superhot Xbox One,3074,"88, 500, 3074, 3544, 4500",
Superhot VR Playstation 4,"1935, 3478-3480","3074, 3478-3479",
SuperHyperCube Playstation 4,"1935, 3478-3480","3074, 3478-3479",
SuperHyperCube,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Supermagical Playstation 3,5223,"5223, 3478-3479, 3658",
Superman Returns The Videogame Xbox 360,3074,3074,
Supermarket Shriek Xbox One,3074,"88, 500, 3074, 3544, 4500",
SuperPower,"3783, 6500, 6515, 6667, 13139, 27900, 28900, 29900-29901","6515, 13139, 27900",
SuperPower Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
SuperPower 2,5555-5557,5555-5557,
Supersonic Acrobatic Rocket-Powered Battle-Cars Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
SuperSync,5360,,
Supreme Commander,"6112, 9103, 30350-30351",,
Supreme Commander Xbox 360,3074,"88, 3074",
Supreme Commander 2,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Supreme Commander 2 Xbox 360,3074,"88, 3074",
Supreme Commander: Forged Alliance,"6112, 9103, 30350-30351",,
SureSync,9002-9033,,
Surfs Up Xbox 360,3074,3074,
Surfs Up Playstation 3,5223,"5223, 3478, 3479, 3658",
Surgeon Simulator,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Surgeon Simulator Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Surgeon Simulator Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Surveillix Server,"80, 2000-2006, 2014-2015, 3001-3002, 3100, 5005, 9876",,
Survisland,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Survival Project,9000-10000,9000-10000,
SVAT CLEARVU1,50000,50000,
SVAT CLEARVU3,"80, 2000","80, 2000",
SVAT CV0204DVR,80,80,
SVAT CV501-16CH-007,80,,
SVAT Sentinel1,50000,50000,
Swann SWDVR-94200H,"85, 9000","85, 9000",
SWAT 4,10480-10483,,
SWAT3,16639,16638,
Switchball Xbox 360,3074,3074,
Sword Art Online Re: Hollow Fragment Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Sword Art Online Re: Hollow Fragment Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Sword Art Online: Fatal Bullet Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Sword Art Online: Fatal Bullet Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Sword Art Online: Fatal Bullet Xbox One,3074,"88, 500, 3074, 3544, 4500",
Sword Art Online: Fatal Bullet Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Sword Art Online: Hollow Realization Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Sword Art Online: Hollow Realization Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Sword Art Online: Hollow Realization Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Sword Art Online: Lost Song Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Sword Art Online: Lost Song Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Sword Art Online: Lost Song Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Sword Coast Legends Xbox One,3074,"88, 500, 3074, 3544, 4500",
Sword Coast Legends Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Sword Coast Legends,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Sword of the Guardian,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Swords & Soldiers Playstation 3,"3478-3480, 5223, 8080","3074, 3478-3479, 3658",
Swords & Soldiers Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Swords & Soldiers Wii,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Swords & Soldiers II: Shawarmageddon Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Swords & Soldiers II: Shawarmageddon Steam,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Swords & Soldiers II: Shawarmageddon Switch,"6667, 12400, 28910, 29900, 29901, 29920",1-65535,
Syncloud,"80, 443","80, 443",
Syndicate Xbox 360,3074,"1000, 3074",
Syndicate Playstation 3,5223,"5223, 3478-3479, 3658-3659",
Syndicate,3659,,
Syndrome,"27015-27030, 27036-27037","4380, 27000-27031, 27036",
Syndrome Playstation 4,"1935, 3478-3480","3074, 3478-3479",
Syndrome Xbox One,3074,"88, 500, 3074, 3544, 4500",
Synology CS-406,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology CS-406e,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology CS407,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology CS407e,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-101,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-101g+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-101j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-106,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-106e,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS-106j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1010+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS107,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS107+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS107e,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS108j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS109,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS109+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS109j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS110+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS110j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS111,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS112,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS112j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS115j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1511+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1512+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1515+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1812+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS1813+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS207,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS207+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS209,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS209+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS209+II,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS209j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS210+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS210j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS211,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS211+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS211j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS212,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS212+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS212j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS213,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS213j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS214play,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS214se,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS215j,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS2411+,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS3611xs,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS3612xs,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS408,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
Synology DS409,"20-22, 25, 80, 110-111, 137-139, 143, 443, 445, 548, 873, 892, 993, 995, 2049, 3260, 4672, 5000-5001, 5005-5006, 5432, 6881-6999, 7000-7001, 9997-9999, 55536-55663, 55736-55863","25, 110-111, 137-139, 143, 445, 892, 993, 995, 2049, 4662, 4672, 5432, 6881-6999, 9997-9999",
